  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2234   0.00535   0.00093  -0.0002   0.7026   0.3219
  -1.500  -0.1678   0.00524   0.00084  -0.0001   0.6554   0.3694
  -1.000  -0.1120   0.00516   0.00078  -0.0001   0.6077   0.4177
  -0.500  -0.0560   0.00511   0.00075  -0.0000   0.5604   0.4658
   0.000   0.0000   0.00509   0.00073  -0.0000   0.5133   0.5135
   0.500   0.0560   0.00511   0.00075   0.0000   0.4656   0.5604
   1.000   0.1120   0.00517   0.00078   0.0001   0.4175   0.6077
   1.500   0.1678   0.00524   0.00084   0.0001   0.3694   0.6557
   2.000   0.2234   0.00536   0.00093   0.0002   0.3213   0.7023
